"ACCOUNT_ID","LIST_ID","EVENT_CAPTURED_DT","EVENT_STORED_DT","CAMPAIGN_ID","LAUNCH_ID","EXTERNAL_CAMPAIGN_ID","SF_CAMPAIGN_ID","CAMPAIGN_NAME","LAUNCH_NAME","LAUNCH_STATUS","LAUNCH_TYPE","LAUNCH_CHARSET","PURPOSE","SUBJECT","DESCRIPTION","PRODUCT_CATEGORY","PRODUCT_TYPE","MARKETING_STRATEGY","MARKETING_PROGRAM","LAUNCH_ERROR_CODE","LAUNCH_STARTED_DT","LAUNCH_COMPLETED_DT","DISPATCHABLE_TYPE","PROGRAM_ID","BRAND_ID","CREATOR_NAME","FIRST_NAME","LAST_NAME","DMP01","DMP02BATCHTRIGGER","DMP03PUREBATCH","DMP04BLOCK","RAVISH"
"7668","37121","27-Oct-2019 12:10:12","27-Oct-2019 12:10:27","38481","30440081","","","QList1 EMD03","","B","S","ISO-8859-1","P","Campaign Name: ${campaign.name} Campaign ID: ${campaign.id} Launch ID: ${launch.id} RIID is ${RIID_}","","","","","","","27-Oct-2019 12:10:12","","PromotionalCampaign","530621","","ipush","","","","","","",""
"7668","37121","27-Oct-2019 12:10:13","27-Oct-2019 12:10:28","38481","30440081","","","QList1 EMD03","","L","S","ISO-8859-1","P","Campaign Name: ${campaign.name} Campaign ID: ${campaign.id} Launch ID: ${launch.id} RIID is ${RIID_}","","","","","","","","","PromotionalCampaign","530621","","ipush","","","","","","",""
"7668","37121","27-Oct-2019 12:10:13","27-Oct-2019 12:10:28","38481","30440081","","","QList1 EMD03","","S","S","ISO-8859-1","P","Campaign Name: ${campaign.name} Campaign ID: ${campaign.id} Launch ID: ${launch.id} RIID is ${RIID_}","","","","","","","","","PromotionalCampaign","530621","","ipush","","","","","","",""
"7668","37121","27-Oct-2019 12:10:13","27-Oct-2019 12:10:28","38481","30440081","","","QList1 EMD03","","C","S","ISO-8859-1","P","Campaign Name: ${campaign.name} Campaign ID: ${campaign.id} Launch ID: ${launch.id} RIID is ${RIID_}","","","","","","","","27-Oct-2019 12:10:13","PromotionalCampaign","530621","","ipush","","","","","","",""
"7668","37121","27-Oct-2019 12:15:16","27-Oct-2019 12:15:31","38341","30440101","","","QList1 EMD01","","B","S","ISO-8859-1","P","Campaign Name: ${campaign.name} Campaign ID: ${campaign.id} Launch ID: ${launch.id} RIID is ${RIID_}","","","","","","","27-Oct-2019 12:15:16","","PromotionalCampaign","193554541","","ipush","","","","","","",""
"7668","37121","27-Oct-2019 12:15:16","27-Oct-2019 12:15:31","38341","30440101","","","QList1 EMD01","","L","S","ISO-8859-1","P","Campaign Name: ${campaign.name} Campaign ID: ${campaign.id} Launch ID: ${launch.id} RIID is ${RIID_}","","","","","","","","","PromotionalCampaign","193554541","","ipush","","","","","","",""
"7668","37121","27-Oct-2019 12:15:16","27-Oct-2019 12:15:31","38341","30440101","","","QList1 EMD01","","S","S","ISO-8859-1","P","Campaign Name: ${campaign.name} Campaign ID: ${campaign.id} Launch ID: ${launch.id} RIID is ${RIID_}","","","","","","","","","PromotionalCampaign","193554541","","ipush","","","","","","",""
"7668","37121","27-Oct-2019 12:15:17","27-Oct-2019 12:15:32","38341","30440101","","","QList1 EMD01","","C","S","ISO-8859-1","P","Campaign Name: ${campaign.name} Campaign ID: ${campaign.id} Launch ID: ${launch.id} RIID is ${RIID_}","","","","","","","","27-Oct-2019 12:15:17","PromotionalCampaign","193554541","","ipush","","","","","","",""
"7668","37121","27-Oct-2019 12:15:17","27-Oct-2019 12:15:32","38341","29501","","","QList1 EMD01","","C","X","ISO-8859-1","P","Campaign Name: ${campaign.name} Campaign ID: ${campaign.id} Launch ID: ${launch.id} RIID is ${RIID_}","","","","","","","27-Oct-2019 12:15:17","27-Oct-2019 12:15:17","PromotionalCampaign","","","ipush","","","","","","",""
"7668","37121","27-Oct-2019 12:01:07","27-Oct-2019 12:01:22","38341","30439981","","","QList1 EMD01","","B","S","ISO-8859-1","P","Campaign Name: ${campaign.name} Campaign ID: ${campaign.id} Launch ID: ${launch.id} RIID is ${RIID_}","","","","","","","27-Oct-2019 12:01:07","","PromotionalCampaign","712741","","ipush","","","","","","",""
"7668","37121","27-Oct-2019 12:01:08","27-Oct-2019 12:01:23","38341","30439981","","","QList1 EMD01","","L","S","ISO-8859-1","P","Campaign Name: ${campaign.name} Campaign ID: ${campaign.id} Launch ID: ${launch.id} RIID is ${RIID_}","","","","","","","","","PromotionalCampaign","712741","","ipush","","","","","","",""
"7668","37121","27-Oct-2019 12:01:08","27-Oct-2019 12:01:23","38341","30439981","","","QList1 EMD01","","S","S","ISO-8859-1","P","Campaign Name: ${campaign.name} Campaign ID: ${campaign.id} Launch ID: ${launch.id} RIID is ${RIID_}","","","","","","","","","PromotionalCampaign","712741","","ipush","","","","","","",""
"7668","37121","27-Oct-2019 12:01:09","27-Oct-2019 12:01:24","38341","30439981","","","QList1 EMD01","","C","S","ISO-8859-1","P","Campaign Name: ${campaign.name} Campaign ID: ${campaign.id} Launch ID: ${launch.id} RIID is ${RIID_}","","","","","","","","27-Oct-2019 12:01:09","PromotionalCampaign","712741","","ipush","","","","","","",""
"7668","37121","27-Oct-2019 12:01:09","27-Oct-2019 12:01:24","38341","29501","","","QList1 EMD01","","C","X","ISO-8859-1","P","Campaign Name: ${campaign.name} Campaign ID: ${campaign.id} Launch ID: ${launch.id} RIID is ${RIID_}","","","","","","","27-Oct-2019 12:01:09","27-Oct-2019 12:01:09","PromotionalCampaign","","","ipush","","","","","","",""
