"EVENT_UUID","EVENT_TYPE_ID","ACCOUNT_ID","LIST_ID","RIID","CUSTOMER_ID","EVENT_CAPTURED_DT","EVENT_STORED_DT","CAMPAIGN_ID","LAUNCH_ID","PROGRAM_ID","PUSH_ID","USER_ID","APP_ID","REASON","PLATFORM_TYPE"
"a3c71772-a817-4219-aad7-deaca78fd5a3","508","7668","49961","3721111141","","26-Oct-2019 16:12:55","26-Oct-2019 16:13:10","193501861","30081201","193502181","7C3786B4-DEDA-4517-B148-C7027C192FC2","","1","The Push channel list associated to campaign =007_04_Beacon_Entry_RichPush is different than the channel list associated to app =pushio-ri-qa1","ios"
"c1ad41cc-4b04-4200-a3b8-7c7016ac5b93","508","7668","49961","3721111141","","26-Oct-2019 16:12:55","26-Oct-2019 16:13:10","193501861","30081201","193502181","7C3786B4-DEDA-4517-B148-C7027C192FC2","","1","The Push channel list associated to campaign =007_04_Beacon_Entry_RichPush is different than the channel list associated to app =pushio-ri-qa1","ios"
"e8b18d25-d178-4e47-b5d4-f4413dee90c9","508","7668","49961","3721111141","","26-Oct-2019 16:12:55","26-Oct-2019 16:13:10","193501861","30081201","193502181","7C3786B4-DEDA-4517-B148-C7027C192FC2","","1","The Push channel list associated to campaign =007_04_Beacon_Entry_RichPush is different than the channel list associated to app =pushio-ri-qa1","ios"
"fb4a8830-2f7c-46ea-b836-8e48801ce863","508","7668","49961","3721111141","","26-Oct-2019 16:12:55","26-Oct-2019 16:13:10","193501861","30081201","193502181","7C3786B4-DEDA-4517-B148-C7027C192FC2","","1","The Push channel list associated to campaign =007_04_Beacon_Entry_RichPush is different than the channel list associated to app =pushio-ri-qa1","ios"
"53175747-877b-4f3d-a074-fac64c23540e","508","7668","49961","3721111141","","26-Oct-2019 16:12:55","26-Oct-2019 16:13:10","193501861","30081201","193502181","7C3786B4-DEDA-4517-B148-C7027C192FC2","","1","The Push channel list associated to campaign =007_04_Beacon_Entry_RichPush is different than the channel list associated to app =pushio-ri-qa1","ios"
"8bb4444c-a3eb-46c6-8980-9f7b568b8989","508","7668","49961","3721111141","","26-Oct-2019 16:12:55","26-Oct-2019 16:13:10","193501861","30081201","193502181","7C3786B4-DEDA-4517-B148-C7027C192FC2","","1","The Push channel list associated to campaign =007_04_Beacon_Entry_RichPush is different than the channel list associated to app =pushio-ri-qa1","ios"
"23405b6b-c049-412c-be03-dacd2251f256","508","7668","49961","3721111141","","26-Oct-2019 16:12:55","26-Oct-2019 16:13:10","193501861","30081201","193502181","7C3786B4-DEDA-4517-B148-C7027C192FC2","","1","The Push channel list associated to campaign =007_04_Beacon_Entry_RichPush is different than the channel list associated to app =pushio-ri-qa1","ios"
"441f5f87-be84-4644-80ed-e9fdb4f0964a","508","7668","49961","3721111141","","26-Oct-2019 16:12:55","26-Oct-2019 16:13:10","193501861","30081201","193502181","7C3786B4-DEDA-4517-B148-C7027C192FC2","","1","The Push channel list associated to campaign =007_04_Beacon_Entry_RichPush is different than the channel list associated to app =pushio-ri-qa1","ios"
"3646696a-7a9c-46ce-809f-d0d28dae303f","508","7668","49961","3721111141","","26-Oct-2019 16:12:55","26-Oct-2019 16:13:10","193501861","30081201","193502181","7C3786B4-DEDA-4517-B148-C7027C192FC2","","1","The Push channel list associated to campaign =007_04_Beacon_Entry_RichPush is different than the channel list associated to app =pushio-ri-qa1","ios"
"63275f4f-3c18-4c22-b209-1d97492b2efc","508","7668","49961","3721111141","","26-Oct-2019 16:12:55","26-Oct-2019 16:13:10","193501861","30081201","193502181","7C3786B4-DEDA-4517-B148-C7027C192FC2","","1","The Push channel list associated to campaign =007_04_Beacon_Entry_RichPush is different than the channel list associated to app =pushio-ri-qa1","ios"
"17c105af-9150-4cdb-8127-6691ce8f2d5b","508","7668","49961","3721111141","","26-Oct-2019 16:12:55","26-Oct-2019 16:13:10","193501861","30081201","193502181","7C3786B4-DEDA-4517-B148-C7027C192FC2","","1","The Push channel list associated to campaign =007_04_Beacon_Entry_RichPush is different than the channel list associated to app =pushio-ri-qa1","ios"
"292dc95f-7ab4-4d29-b4b1-479135f3ae9d","508","7668","49961","3721111141","","26-Oct-2019 16:12:55","26-Oct-2019 16:13:10","193501861","30081201","193502181","7C3786B4-DEDA-4517-B148-C7027C192FC2","","1","The Push channel list associated to campaign =007_04_Beacon_Entry_RichPush is different than the channel list associated to app =pushio-ri-qa1","ios"
"5013a4ae-3a52-4fa3-984d-1750ad9d3a21","508","7668","49961","3721111141","","26-Oct-2019 16:12:55","26-Oct-2019 16:13:10","193501861","30081201","193502181","7C3786B4-DEDA-4517-B148-C7027C192FC2","","1","The Push channel list associated to campaign =007_04_Beacon_Entry_RichPush is different than the channel list associated to app =pushio-ri-qa1","ios"
"5106a2e5-6b47-4828-845c-c22595817a89","508","7668","49961","3721111141","","26-Oct-2019 16:12:55","26-Oct-2019 16:13:10","193501861","30081201","193502181","7C3786B4-DEDA-4517-B148-C7027C192FC2","","1","The Push channel list associated to campaign =007_04_Beacon_Entry_RichPush is different than the channel list associated to app =pushio-ri-qa1","ios"
"08988b42-913d-4ca8-b6a2-52aa869359be","508","7668","49961","3721111141","","26-Oct-2019 16:12:55","26-Oct-2019 16:13:10","193501861","30081201","193502181","7C3786B4-DEDA-4517-B148-C7027C192FC2","","1","The Push channel list associated to campaign =007_04_Beacon_Entry_RichPush is different than the channel list associated to app =pushio-ri-qa1","ios"
"5f5b535f-4d02-4d3b-a787-049a882e6baa","508","7668","49961","3721111141","","26-Oct-2019 16:12:55","26-Oct-2019 16:13:10","193501861","30081201","193502181","7C3786B4-DEDA-4517-B148-C7027C192FC2","","1","The Push channel list associated to campaign =007_04_Beacon_Entry_RichPush is different than the channel list associated to app =pushio-ri-qa1","ios"
"47edfa98-8808-4ad4-841d-59baf40d469a","508","7668","49961","3721111141","","26-Oct-2019 16:12:55","26-Oct-2019 16:13:10","193501861","30081201","193502181","7C3786B4-DEDA-4517-B148-C7027C192FC2","","1","The Push channel list associated to campaign =007_04_Beacon_Entry_RichPush is different than the channel list associated to app =pushio-ri-qa1","ios"
