"Event Types","File Name","ColumnNames From FeedsSetting","Present in CED?","Column in CED","Result","DB Column Index","CED Column Index","Column Order Result"
"SENT","100341_SENT_20190523_074100.txt","FIRST_NAME","Column FIRST_NAME is present in CED","FIRST_NAME","Present","21","21","Column is in Order"
"SENT","100341_SENT_20190523_074100.txt","LAST_NAME","Column LAST_NAME is present in CED","LAST_NAME","Present","22","22","Column is in Order"
"SENT","100341_SENT_20190523_074100.txt","DISPATCHABLE_CREATED_USER_ID","Column DISPATCHABLE_CREATED_USER_ID is present in CED","DISPATCHABLE_CREATED_USER_ID","Present","23","23","Column is in Order"
"SMS_SENT","100341_SMS_SENT_20190523_074101.txt","EVENT_UUID","Column EVENT_UUID is present in CED","EVENT_UUID","Present","0","0","Column is in Order"
"SMS_SENT","100341_SMS_SENT_20190523_074101.txt","EVENT_TYPE_ID","Column EVENT_TYPE_ID is present in CED","EVENT_TYPE_ID","Present","1","1","Column is in Order"
"SMS_SENT","100341_SMS_SENT_20190523_074101.txt","ACCOUNT_ID","Column ACCOUNT_ID is present in CED","ACCOUNT_ID","Present","2","2","Column is in Order"
"SMS_SENT","100341_SMS_SENT_20190523_074101.txt","LIST_ID","Column LIST_ID is present in CED","LIST_ID","Present","3","3","Column is in Order"
"SMS_SENT","100341_SMS_SENT_20190523_074101.txt","RIID","Column RIID is present in CED","RIID","Present","4","4","Column is in Order"
"SMS_SENT","100341_SMS_SENT_20190523_074101.txt","CUSTOMER_ID","Column CUSTOMER_ID is present in CED","CUSTOMER_ID","Present","5","5","Column is in Order"
"SMS_SENT","100341_SMS_SENT_20190523_074101.txt","EVENT_CAPTURED_DT","Column EVENT_CAPTURED_DT is present in CED","EVENT_CAPTURED_DT","Present","6","6","Column is in Order"
"SMS_SENT","100341_SMS_SENT_20190523_074101.txt","EVENT_STORED_DT","Column EVENT_STORED_DT is present in CED","EVENT_STORED_DT","Present","7","7","Column is in Order"
"SMS_SENT","100341_SMS_SENT_20190523_074101.txt","CAMPAIGN_ID","Column CAMPAIGN_ID is present in CED","CAMPAIGN_ID","Present","8","8","Column is in Order"
"SMS_SENT","100341_SMS_SENT_20190523_074101.txt","LAUNCH_ID","Column LAUNCH_ID is present in CED","LAUNCH_ID","Present","9","9","Column is in Order"
"SMS_SENT","100341_SMS_SENT_20190523_074101.txt","PROGRAM_ID","Column PROGRAM_ID is present in CED","PROGRAM_ID","Present","10","10","Column is in Order"
"SMS_SENT","100341_SMS_SENT_20190523_074101.txt","AGGREGATOR_ID","Column AGGREGATOR_ID is present in CED","AGGREGATOR_ID","Present","11","11","Column is in Order"
"SMS_SENT","100341_SMS_SENT_20190523_074101.txt","COUNTRY_CODE","Column COUNTRY_CODE is present in CED","COUNTRY_CODE","Present","12","12","Column is in Order"
"SMS_SENT","100341_SMS_SENT_20190523_074101.txt","MOBILE_CODE","Column MOBILE_CODE is present in CED","MOBILE_CODE","Present","13","13","Column is in Order"
"SMS_SENT","100341_SMS_SENT_20190523_074101.txt","MOBILE_CHANNEL","Column MOBILE_CHANNEL is present in CED","MOBILE_CHANNEL","Present","14","14","Column is in Order"
"SMS_SENT","100341_SMS_SENT_20190523_074101.txt","MOBILE_KEYWORD","Column MOBILE_KEYWORD is present in CED","MOBILE_KEYWORD","Present","15","15","Column is in Order"
"SMS_SENT","100341_SMS_SENT_20190523_074101.txt","OFFER_SIGNATURE_ID","Column OFFER_SIGNATURE_ID is present in CED","OFFER_SIGNATURE_ID","Present","16","16","Column is in Order"
"SMS_SENT","100341_SMS_SENT_20190523_074101.txt","MSG_SPLIT_COUNT","Column MSG_SPLIT_COUNT is missing","MSG_COUNT","Missing","17","N/A","'MSG_SPLIT_COUNT' is not in list"
