"Event Types","File Name","ColumnNames From FeedsSetting","Present in CED?","Column in CED","Result","DB Column Index","CED Column Index","Column Order Result"
"LAUNCH_STATE","100341_LAUNCH_STATE_20190603_060501.txt","FIRST_NAME","Column FIRST_NAME (from CUSTOM_PROPERTIES) is present in CED","PROGRAM_ID","Present","28","24","Column is NOT in Order"
"LAUNCH_STATE","100341_LAUNCH_STATE_20190603_060501.txt","LAST_NAME","Column LAST_NAME (from CUSTOM_PROPERTIES) is present in CED","BRAND_ID","Present","29","25","Column is NOT in Order"
"OPT_IN","100341_OPT_IN_20190603_060501.txt","EVENT_TYPE_ID","Column EVENT_TYPE_ID is present in CED","EVENT_TYPE_ID","Present","0","0","Column is in Order"
"OPT_IN","100341_OPT_IN_20190603_060501.txt","ACCOUNT_ID","Column ACCOUNT_ID is present in CED","ACCOUNT_ID","Present","1","1","Column is in Order"
"OPT_IN","100341_OPT_IN_20190603_060501.txt","LIST_ID","Column LIST_ID is present in CED","LIST_ID","Present","2","2","Column is in Order"
"OPT_IN","100341_OPT_IN_20190603_060501.txt","RIID","Column RIID is present in CED","RIID","Present","3","3","Column is in Order"
"OPT_IN","100341_OPT_IN_20190603_060501.txt","CUSTOMER_ID","Column CUSTOMER_ID is present in CED","CUSTOMER_ID","Present","4","4","Column is in Order"
"OPT_IN","100341_OPT_IN_20190603_060501.txt","EVENT_CAPTURED_DT","Column EVENT_CAPTURED_DT is present in CED","EVENT_CAPTURED_DT","Present","5","5","Column is in Order"
"OPT_IN","100341_OPT_IN_20190603_060501.txt","EVENT_STORED_DT","Column EVENT_STORED_DT is present in CED","EVENT_STORED_DT","Present","6","6","Column is in Order"
"OPT_IN","100341_OPT_IN_20190603_060501.txt","CAMPAIGN_ID","Column CAMPAIGN_ID is present in CED","CAMPAIGN_ID","Present","7","7","Column is in Order"
"OPT_IN","100341_OPT_IN_20190603_060501.txt","LAUNCH_ID","Column LAUNCH_ID is present in CED","LAUNCH_ID","Present","8","8","Column is in Order"
"OPT_IN","100341_OPT_IN_20190603_060501.txt","EMAIL_FORMAT","Column EMAIL_FORMAT is present in CED","EMAIL_FORMAT","Present","9","9","Column is in Order"
"OPT_IN","100341_OPT_IN_20190603_060501.txt","SOURCE","Column SOURCE is present in CED","SOURCE","Present","10","10","Column is in Order"
"OPT_IN","100341_OPT_IN_20190603_060501.txt","REASON","Column REASON is present in CED","REASON","Present","11","11","Column is in Order"
"OPT_IN","100341_OPT_IN_20190603_060501.txt","EMAIL","Column EMAIL is present in CED","EMAIL","Present","12","12","Column is in Order"
