"ACCOUNT_ID","LIST_ID","EXT_CAMPAIGN_ID","EVENT_CAPTURED_DT","EVENT_STORED_DT","CAMPAIGN_ID","LAUNCH_ID","EXTERNAL_CAMPAIGN_ID","SF_CAMPAIGN_ID","CAMPAIGN_NAME","LAUNCH_NAME","LAUNCH_STATUS","LAUNCH_TYPE","LAUNCH_CHARSET","PURPOSE","SUBJECT","DESCRIPTION","PRODUCT_CATEGORY","PRODUCT_TYPE","MARKETING_STRATEGY","MARKETING_PROGRAM","LAUNCH_ERROR_CODE","LAUNCH_STARTED_DT","LAUNCH_COMPLETED_DT","FIRST_NAME","LAST_NAME","DISPATCHABLE_CREATED_USER_ID","DISPATCHABLE_TYPE","PROGRAM_ID","BRAND_ID","CREATOR_NAME"
"100341","23461",,"03-Jun-2019 00:39:16","03-Jun-2019 00:39:31","4123861","66515901","","","Soham_18thJune_Cust_1","","C","S","ISO-8859-1","P","","Soham_18thJune_Cust_1","","","","","","","03-Jun-2019 00:39:16","","","","SmsCampaign","4123941","","progtm"
"100341","23461",,"03-Jun-2019 00:39:22","03-Jun-2019 00:39:32","4140221","66515921","","","Soham_4thJuly_Cust_1","","L","S","ISO-8859-1","P","","Soham_4thJuly_Cust_1","","","","","","","","","","","SmsCampaign","4140341","","progtm"
"100341","23461",,"03-Jun-2019 00:39:22","03-Jun-2019 00:39:32","4140221","66515921","","","Soham_4thJuly_Cust_1","","S","S","ISO-8859-1","P","","Soham_4thJuly_Cust_1","","","","","","","","","","","SmsCampaign","4140341","","progtm"
"100341","23461",,"03-Jun-2019 00:39:21","03-Jun-2019 00:39:36","4140221","66515921","","","Soham_4thJuly_Cust_1","","B","S","ISO-8859-1","P","","Soham_4thJuly_Cust_1","","","","","","03-Jun-2019 00:39:21","","","","","SmsCampaign","4140341","","progtm"
"100341","23461",,"03-Jun-2019 00:54:17","03-Jun-2019 00:54:23","78441","66515941","","","Soham_23rdApril_Cust_1","","C","S","ISO-8859-1","P","","Soham_23rdApril_Cust_1","","","","","","","03-Jun-2019 00:54:17","","","","SmsCampaign","4085201","","progtm"
"100341","23461",,"03-Jun-2019 00:54:14","03-Jun-2019 00:54:29","78441","66515941","","","Soham_23rdApril_Cust_1","","B","S","ISO-8859-1","P","","Soham_23rdApril_Cust_1","","","","","","03-Jun-2019 00:54:14","","","","","SmsCampaign","4085201","","progtm"
"100341","23461",,"03-Jun-2019 00:54:14","03-Jun-2019 00:54:31","78441","66515941","","","Soham_23rdApril_Cust_1","","L","S","ISO-8859-1","P","","Soham_23rdApril_Cust_1","","","","","","","","","","","SmsCampaign","4085201","","progtm"
"100341","23461",,"03-Jun-2019 00:54:16","03-Jun-2019 00:54:31","78441","66515941","","","Soham_23rdApril_Cust_1","","S","S","ISO-8859-1","P","","Soham_23rdApril_Cust_1","","","","","","","","","","","SmsCampaign","4085201","","progtm"
"100341","23461",,"03-Jun-2019 01:15:15","03-Jun-2019 01:15:30","57941","66515961","","","Soham_Cust_9thApril_Help","","B","S","ISO-8859-1","P","","Soham_Cust_9thApril_Help","","","","","","03-Jun-2019 01:15:15","","","","","SmsCampaign","58061","","progtm"
"100341","23461",,"03-Jun-2019 01:15:16","03-Jun-2019 01:15:31","57941","66515961","","","Soham_Cust_9thApril_Help","","L","S","ISO-8859-1","P","","Soham_Cust_9thApril_Help","","","","","","","","","","","SmsCampaign","58061","","progtm"
